Title;Type;Issn
Seminars in Cancer Biology;journal;ISSN 1044579X, 10963650
Cold Spring Harbor perspectives in biology;journal;ISSN 19430264
PLoS Genetics;journal;ISSN 15537404, 15537390
Strategic Management Journal;journal;ISSN 01432095, 10970266
Angewandte Chemie - International Edition;journal;ISSN 14337851, 15213773
Living Reviews in Relativity;journal;ISSN 14338351
Foundations and Trends in Machine Learning;journal;ISSN 19358237
Journal of the National Cancer Institute;journal;ISSN 00278874
MMWR. Surveillance summaries : Morbidity and mortality weekly report. Surveillance summaries / CDC;journal;ISSN 15460738, 15458636
ISME Journal;journal;ISSN 17517362, 17517370
Journal of Engineering Education;journal;ISSN 10694730
Annual Review of Materials Research;journal;ISSN 15454118, 15317331
Vital and health statistics. Series 10, Data from the National Health Survey;journal;ISSN 00831972
American Political Science Review;journal;ISSN 15375943, 00030554
Critical Reviews in Biochemistry and Molecular Biology;journal;ISSN 10409238, 15497798
Brain;journal;ISSN 14602156, 00068950
Perspectives on Psychological Science;journal;ISSN 17456916, 17456924
Journal of Economic Perspectives;journal;ISSN 08953309
Psychological Methods;journal;ISSN 1082989X
Trends in Plant Science;journal;ISSN 13601385
Trends in Endocrinology and Metabolism;journal;ISSN 10432760
American Economic Journal: Macroeconomics;journal;ISSN 19457715, 19457707
JAMA Internal Medicine;journal;ISSN 21686106, 21686114
Family Business Review;journal;ISSN 08944865
Inventiones Mathematicae;journal;ISSN 14321297, 00209910
American Economic Journal: Economic Policy;journal;ISSN 1945774X, 19457731
American Journal of Respiratory and Critical Care Medicine;journal;ISSN 1073449X, 15354970
Diabetes Care;journal;ISSN 01495992, 19355548
Biological Psychiatry;journal;ISSN 00063223
IEEE Transactions on Fuzzy Systems;journal;ISSN 10636706
Progress in Neurobiology;journal;ISSN 03010082
MMWR. Morbidity and mortality weekly report;journal;ISSN 1545861X, 01492195
Journal of Marketing Research;journal;ISSN 00222437, 15477193
Circulation Research;journal;ISSN 15244571, 00097330
Personnel Psychology;journal;ISSN 00315826
Journal of Accounting Research;journal;ISSN 1475679X, 00218456
Plant Cell;journal;ISSN 1532298X, 10404651
Organizational Research Methods;journal;ISSN 10944281
Microbiome;journal;ISSN 20492618
Duke Mathematical Journal;journal;ISSN 00127094
Annual Review of Earth and Planetary Sciences;book serie;ISSN 00846597
PLoS Medicine;journal;ISSN 15491277, 15491676
Current Opinion in Genetics and Development;journal;ISSN 0959437X
International Journal of Computer Vision;journal;ISSN 09205691
Journal of Labor Economics;journal;ISSN 15375307, 0734306X
Silence;journal;ISSN 1758907X
Annals of Neurology;journal;ISSN 03645134, 15318249
EMBO Molecular Medicine;journal;ISSN 17574684, 17574676
Stem Cell Reports;journal;ISSN 22136711
Current Opinion in Structural Biology;journal;ISSN 0959440X
Paediatric and Perinatal Epidemiology;journal;ISSN 02695022, 13653016
Journal of Allergy and Clinical Immunology;journal;ISSN 10976825, 00916749
Methods in Ecology and Evolution;journal;ISSN 2041210X
Nature Reviews Clinical Oncology;journal;ISSN 17594774, 17594782
Trends in Pharmacological Sciences;journal;ISSN 01656147
Advances in Experimental Social Psychology;book serie;ISSN 00652601
Handbook of the Economics of Finance;book serie;ISSN 15740102
Journal of Public Administration Research and Theory;journal;ISSN 10531858, 14779803
Ecological Monographs;journal;ISSN 00129615
Annual Review of Nuclear and Particle Science;journal;ISSN 01638998
Global Change Biology;journal;ISSN 13541013, 13652486
Annals of Internal Medicine;journal;ISSN 00034819, 15393704
Cancer Research;journal;ISSN 00085472
Trends in Molecular Medicine;journal;ISSN 14714914
Earth System Science Data;journal;ISSN 18663508, 18663516
Journal of Supply Chain Management;journal;ISSN 15232409
Cancer Discovery;journal;ISSN 21598290, 21598274
Clinical Cancer Research;journal;ISSN 10780432
Current Opinion in Neurobiology;journal;ISSN 09594388
PLoS Biology;journal;ISSN 15449173, 15457885
Neuroscience and Biobehavioral Reviews;journal;ISSN 01497634
Psychological Review;journal;ISSN 0033295X
Trends in Microbiology;journal;ISSN 0966842X
The Lancet Respiratory Medicine;journal;ISSN 22132600
Development;journal;ISSN 09501991, 14779129
American Journal of Psychiatry;journal;ISSN 0002953X
Advanced Functional Materials;journal;ISSN 1616301X
Frontiers in Ecology and the Environment;journal;ISSN 15409295
Advanced Drug Delivery Reviews;journal;ISSN 0169409X
Annual Review of Nutrition;journal;ISSN 01999885, 15454312
Diabetes;journal;ISSN 00121797
PLoS Pathogens;journal;ISSN 15537366, 15537374
Annual Review of Fluid Mechanics;journal;ISSN 00664189, 15454479
Criminology;journal;ISSN 00111384
Leukemia;journal;ISSN 08876924
Handbook of Public Economics;book serie;ISSN 15734420
Progress in Lipid Research;journal;ISSN 01637827
Journal of Neuroscience;journal;ISSN 15292401, 02706474
American Journal of Political Science;journal;ISSN 00925853, 15405907
Progress in Retinal and Eye Research;journal;ISSN 13509462
Current Opinion in Immunology;journal;ISSN 09527915
JACC: Cardiovascular Interventions;journal;ISSN 19368798
Journal of Operations Management;journal;ISSN 02726963
Annual Review of Public Health;journal;ISSN 01637525, 15452093
The Lancet HIV;journal;ISSN 23523018
Journal of Personality and Social Psychology;journal;ISSN 00223514
Physical Review X;journal;ISSN 21603308
Journal of Climate;journal;ISSN 15200442, 08948755
Chemical Science;journal;ISSN 20416520, 20416539
Annual Review of Virology;journal;ISSN 2327056X, 23270578
Progress in Human Geography;journal;ISSN 03091325, 14770288
Gondwana Research;journal;ISSN 1342937X
Journal of Management Studies;journal;ISSN 14676486, 00222380
Journal of Business Venturing;journal;ISSN 08839026
Journal of Consumer Research;journal;ISSN 15375277, 00935301
Seminars in Immunology;journal;ISSN 10445323, 10963618
Science signaling;journal;ISSN 19450877, 19379145
Journal of Peasant Studies;journal;ISSN 03066150
Cerebral Cortex;journal;ISSN 14602199, 10473211
Annual Review of Biomedical Engineering;journal;ISSN 15239829, 15454274
Cell Research;journal;ISSN 10010602
Research on Language and Social Interaction;journal;ISSN 08351813, 15327973
Nature Reviews Neurology;journal;ISSN 17594758, 17594766
IEEE Transactions on Smart Grid;journal;ISSN 19493053
Structure;journal;ISSN 09692126
Hepatology;journal;ISSN 02709139, 15273350
Ophthalmology;journal;ISSN 01616420, 15494713
Annual Review of Sociology;journal;ISSN 03600572, 15452115
Clinical Infectious Diseases;journal;ISSN 10584838, 15376591
Current Biology;journal;ISSN 09609822
Journal of the American Society of Nephrology : JASN;journal;ISSN 15333450, 10466673
International Journal of Plasticity;journal;ISSN 07496419
Laser and Photonics Reviews;journal;ISSN 18638880, 18638899
Annual Review of Phytopathology;book serie;ISSN 00664286
Human Reproduction Update;journal;ISSN 13554786, 14602369
Quarterly Reviews of Biophysics;journal;ISSN 14698994, 00335835
Global Ecology and Biogeography;journal;ISSN 1466822X
American Sociological Review;journal;ISSN 00031224
Bioinformatics;journal;ISSN 13674811, 13674803
Journal of Applied Psychology;journal;ISSN 00219010
Review of Economics and Statistics;journal;ISSN 00346535, 15309142
Epigenetics and Chromatin;journal;ISSN 17568935
Manufacturing and Service Operations Management;journal;ISSN 15265498, 15234614
Clinical Psychology Review;journal;ISSN 02727358
Journal of Hepatology;journal;ISSN 16000641, 01688278
Wiley interdisciplinary reviews. RNA;journal;ISSN 17577012, 17577004
RNA;journal;ISSN 13558382, 14699001
Annals of the Rheumatic Diseases;journal;ISSN 14682060, 00034967
Journal of Drug Delivery;journal;ISSN 20903022, 20903014
Astronomy and Astrophysics Review;journal;ISSN 14320754, 09354956
Mucosal Immunology;journal;ISSN 19330219, 19353456
Annals of Surgery;journal;ISSN 15281140, 00034932
Accounting Review;journal;ISSN 00014826
Journal of Photochemistry and Photobiology C: Photochemistry Reviews;journal;ISSN 13895567
Journal of Physical Chemistry Letters;journal;ISSN 19487185
NeuroImage;journal;ISSN 10538119, 10959572
Biochimica et Biophysica Acta - Gene Regulatory Mechanisms;journal;ISSN 18749399
Current Directions in Psychological Science;journal;ISSN 09637214, 14678721
Journal of Advances in Modeling Earth Systems;journal;ISSN 19422466
International Security;journal;ISSN 01622889, 15314804
Surface Science Reports;journal;ISSN 01675729
Current Opinion in Plant Biology;journal;ISSN 13695266
Information Systems Research;journal;ISSN 15265536, 10477047
Management Science;journal;ISSN 00251909, 15265501
International Journal of Epidemiology;journal;ISSN 03005771
Psychological Science;journal;ISSN 09567976, 14679280
Aging Cell;journal;ISSN 14749718
Annals of Oncology;journal;ISSN 09237534, 15698041
2D Materials;journal;ISSN 20531583
Marketing Science;journal;ISSN 07322399, 1526548X
Proceedings of the IEEE Computer Society Conference on Computer  Vision and Pattern Recognition;conference and proceeding;ISSN 10636919
JACC: Heart Failure;journal;ISSN 22131779
Circulation. Heart failure;journal;ISSN 19413289, 19413297
Automatica;journal;ISSN 00051098
IEEE Transactions on Evolutionary Computation;journal;ISSN 1089778X
EMBO Reports;journal;ISSN 1469221X, 14693178
Alzheimer's and Dementia;journal;ISSN 15525260, 15525279
Human Molecular Genetics;journal;ISSN 14602083, 09646906
Annual Review of Political Science;book serie;ISSN 15451577, 10942939
Materials Horizons;journal;ISSN 20516347, 20516355
Obesity Reviews;journal;ISSN 14677881
Genetics;journal;ISSN 00166731
Academy of Management Perspectives;journal;ISSN 15589080
Theoretical Economics;journal;ISSN 19336837, 15557561
Cryosphere;journal;ISSN 19940424, 19940416
Entrepreneurship: Theory and Practice;journal;ISSN 10422587
IEEE Transactions on Automatic Control;journal;ISSN 00189286
Current Protocols in Bioinformatics;journal;ISSN 1934340X, 19343396
Open Biology;journal;ISSN 20462441
Chemistry of Materials;journal;ISSN 08974756, 15205002
Current Opinion in Microbiology;journal;ISSN 13695274
Cell Death and Differentiation;journal;ISSN 13509047
Journal of International Business Studies;journal;ISSN 14786990, 00472506
ACS Catalysis;journal;ISSN 21555435
IEEE Communications Surveys and Tutorials;journal;ISSN 1553877X
International Journal of Robotics Research;journal;ISSN 02783649
Communications on Pure and Applied Mathematics;journal;ISSN 10970312, 00103640
Journal of Pathology;journal;ISSN 10969896, 00223417
Nano Energy;journal;ISSN 22112855
Advances in Immunology;book serie;ISSN 00652776
Journal of Monetary Economics;journal;ISSN 03043932
Journal of Abnormal Psychology;journal;ISSN 0021843X
Health Affairs;journal;ISSN 02782715
Quantitative Economics;journal;ISSN 17597323, 17597331
IEEE Transactions on Power Systems;journal;ISSN 08858950
Molecular Metabolism;journal;ISSN 22128778
Coordination Chemistry Reviews;journal;ISSN 00108545
American Journal of Sociology;journal;ISSN 00029602, 15375390
Cold Spring Harbor perspectives in medicine;journal;ISSN 21571422
Archive for Rational Mechanics and Analysis;journal;ISSN 14320673, 00039527
Pharmacology and Therapeutics;journal;ISSN 01637258
Briefings in Bioinformatics;journal;ISSN 14774054, 14675463
Trends in Biotechnology;journal;ISSN 01677799
Frontiers in Neuroendocrinology;journal;ISSN 00913022, 10956808
Schizophrenia Bulletin;journal;ISSN 05867614
Oncogene;journal;ISSN 09509232
Organization Studies;journal;ISSN 01708406
Nature Reviews Endocrinology;journal;ISSN 17595037, 17595029
Seminars in Cell and Developmental Biology;journal;ISSN 10849521, 10963634
Journal of Ecology;journal;ISSN 13652745, 00220477
Journal of Infectious Diseases;journal;ISSN 15376613, 00221899
Ecology;journal;ISSN 00129658
Circulation: Cardiovascular Interventions;journal;ISSN 19417640, 19417632
Annales Scientifiques de l'Ecole Normale Superieure;journal;ISSN 00129593
New Astronomy Reviews;journal;ISSN 13876473
American Journal of Gastroenterology;journal;ISSN 15720241, 00029270
SIAM Journal on Optimization;journal;ISSN 10526234, 10957189
Drug Resistance Updates;journal;ISSN 13687646, 15322084
Geometry and Topology;journal;ISSN 14653060
Molecular Ecology;journal;ISSN 1365294X, 09621083
IEEE Transactions on Systems, Man and Cybernetics Part B: Cybernetics;journal;ISSN 10834419
Epidemiologic Reviews;journal;ISSN 0193936X, 14786729
Autophagy;journal;ISSN 15548627
Nature Reviews Gastroenterology and Hepatology;journal;ISSN 17595053, 17595045
Transportation Research Part B: Methodological;journal;ISSN 01912615
Geometric and Functional Analysis;journal;ISSN 1016443X, 14208970
American Educational Research Journal;journal;ISSN 00028312
BMC Biology;journal;ISSN 17417007
Journal of the Academy of Marketing Science;journal;ISSN 00920703
Biochimica et Biophysica Acta - Reviews on Cancer;journal;ISSN 0304419X
Annual Review of Environment and Resources;book serie;ISSN 15435938, 15452050
Educational Psychologist;journal;ISSN 00461520, 15326985
Cement and Concrete Research;journal;ISSN 00088846
Journal of Medical Genetics;journal;ISSN 00222593, 14686244
Digest of Technical Papers - IEEE International Solid-State Circuits Conference;conference and proceeding;ISSN 1936530, 01936530
Molecular and Cellular Biology;journal;ISSN 02707306
Journal of Research in Science Teaching;journal;ISSN 10982736, 00224308
Journal of Econometrics;journal;ISSN 03044076
Neuroscientist;journal;ISSN 10738584
Statistical Methods in Medical Research;journal;ISSN 09622802
NCHS data brief;journal;ISSN 19414935, 19414927
Omega;journal;ISSN 03050483
American Journal of Clinical Nutrition;journal;ISSN 00029165
Intensive Care Medicine;journal;ISSN 03424642
Current Topics in Developmental Biology;book serie;ISSN 00702153
American Journal of Cancer Research;journal;ISSN 21566976
Earth-Science Reviews;journal;ISSN 00128252
Fish and Fisheries;journal;ISSN 14672979, 14672960
Critical Care Medicine;journal;ISSN 00903493, 15300293
Molecular Neurodegeneration;journal;ISSN 17501326
Physical Review Letters;journal;ISSN 00319007, 10797114
American Journal of Education;journal;ISSN 15496511, 01956744
Journal of International Economics;journal;ISSN 00221996
Seminars in Immunopathology;journal;ISSN 18632297, 18632300
JAMA Neurology;journal;ISSN 21686149, 21686157
Hypertension;journal;ISSN 0194911X
Neurology;journal;ISSN 00283878
Cilia;journal;ISSN 20462530
Acta Materialia;journal;ISSN 13596454
Handbook of Economic Forecasting;book serie;ISSN 15740706
Stroke;journal;ISSN 15244628, 00392499
Human Mutation;journal;ISSN 10597794, 10981004
International Organization;journal;ISSN 00208183, 15315088
Molecular Biology of the Cell;journal;ISSN 10591524
Journal of Experimental Psychology: General;journal;ISSN 00963445
Journal of the European Mathematical Society;journal;ISSN 14359855, 14359863
Metabolic Engineering;journal;ISSN 10967176, 10967184
Journal of Heart and Lung Transplantation;journal;ISSN 10532498
World Psychiatry;journal;ISSN 17238617
Thorax;journal;ISSN 14683296, 00406376
Cancer immunology research;journal;ISSN 23266066, 23266074
IEEE Transactions on Sustainable Energy;journal;ISSN 19493029
Plant Physiology;journal;ISSN 00320889, 15322548
NPG Asia Materials;journal;ISSN 18844049, 18844057
European Journal of Heart Failure;journal;ISSN 13889842
International Materials Reviews;journal;ISSN 09506608
Natural Product Reports;journal;ISSN 02650568, 14604752
Annual Review of Financial Economics;journal;ISSN 19411367
Earth and Planetary Sciences Letters;journal;ISSN 1385013X, 0012821X
Progress in Quantum Electronics;journal;ISSN 00796727
Climate Dynamics;journal;ISSN 14320894, 09307575
Current Opinion in Chemical Biology;journal;ISSN 13675931
Journal für die Reine und Angewandte Mathematik;journal;ISSN 00754102
New Phytologist;journal;ISSN 14698137, 0028646X
JACC: Cardiovascular Imaging;journal;ISSN 1936878X
Biomaterials;journal;ISSN 01429612
Internet and Higher Education;journal;ISSN 10967516
Journal of Structural Biology;journal;ISSN 10478477, 10958657
Conservation Letters;journal;ISSN 1755263X
Journal of Immunology;journal;ISSN 15506606, 00221767
Genetics in Medicine;journal;ISSN 10983600, 15300366
RAND Journal of Economics;journal;ISSN 07416261
mBio;journal;ISSN 21507511, 21612129
Research Policy;journal;ISSN 00487333
Environmental Health Perspectives;journal;ISSN 00916765
Operations Research;journal;ISSN 0030364X, 15265463
Diabetologia;journal;ISSN 0012186X, 14320428
Annals of Probability;journal;ISSN 00911798
Neuropsychopharmacology;journal;ISSN 0893133X
American Journal of Mathematics;journal;ISSN 10806377, 00029327
Review of Finance;journal;ISSN 15723097
Global Environmental Change;journal;ISSN 09593780
Journal of Cell Science;journal;ISSN 14779137, 00219533
Circulation. Cardiovascular quality and outcomes;journal;ISSN 19417713, 19417705
Journal of Travel Research;journal;ISSN 00472875
Ecography;journal;ISSN 09067590
ACS Photonics;journal;ISSN 23304022
Plant Journal;journal;ISSN 09607412, 1365313X
Review of Educational Research;journal;ISSN 00346543
Journal of the American Statistical Association;journal;ISSN 01621459, 1537274X
Stem Cells;journal;ISSN 15494918, 10665099
Management and Organization Review;journal;ISSN 17408784, 17408776
Perspectives on Politics;journal;ISSN 15375927
BMC Medicine;journal;ISSN 17417015
Radiology;journal;ISSN 15271315, 00338419
IEEE Signal Processing Magazine;journal;ISSN 10535888
ACM Computing Surveys;journal;ISSN 03600300
PLoS Computational Biology;journal;ISSN 1553734X, 15537358
Journal of Memory and Language;journal;ISSN 0749596X, 10960821
Small;journal;ISSN 16136810, 16136829
Chromosoma;journal;ISSN 14320886, 00095915
Journal of Metamorphic Geology;journal;ISSN 15251314, 02634929
Circulation. Cardiovascular imaging;journal;ISSN 19419651, 19420080
Journal of the American Academy of Child and Adolescent Psychiatry;journal;ISSN 08908567
Economic Journal;journal;ISSN 14680297, 00130133
Cellular and Molecular Life Sciences;journal;ISSN 1420682X, 14209071
Strategic Entrepreneurship Journal;journal;ISSN 1932443X, 19324391
Molecular Therapy;journal;ISSN 15250024, 15250016
Radiocarbon;journal;ISSN 00338222
Remote Sensing of Environment;journal;ISSN 00344257
Astrophysical Journal Letters;journal;ISSN 20418213, 20418205
Production and Operations Management;journal;ISSN 10591478
Mathematical Programming Computation;journal;ISSN 18672949, 18672957
Journal of the Learning Sciences;journal;ISSN 10508406, 15327809
Journal of Animal Ecology;journal;ISSN 13652656, 00218790
Cognitive Psychology;journal;ISSN 00100285, 10955623
Arteriosclerosis, Thrombosis, and Vascular Biology;journal;ISSN 15244636, 10795642
Comprehensive Physiology;journal;ISSN 20404603
Journal of Virology;journal;ISSN 0022538X, 10985514
Biology Direct;journal;ISSN 17456150
MRS Bulletin;journal;ISSN 08837694
American Journal of Sports Medicine;journal;ISSN 03635465
Journal of Communication;journal;ISSN 14602466, 00219916
Geophysical Research Letteres;journal;ISSN 00948276
Foundations and Trends in Theoretical Computer Science;journal;ISSN 1551305X, 15513068
Journal of Internal Medicine;journal;ISSN 13652796, 09546820
Journal of High Energy Astrophysics;journal;ISSN 22144048
Annals of Family Medicine;journal;ISSN 15441709, 15441717
Particle and Fibre Toxicology;journal;ISSN 17438977
Advances in Atomic, Molecular and Optical Physics;book serie;ISSN 1049250X
Glia;journal;ISSN 10981136, 08941491
Ageing Research Reviews;journal;ISSN 15681637
Sleep Medicine Reviews;journal;ISSN 10870792
IEEE Transactions on Industrial Electronics;journal;ISSN 02780046
Cancer Treatment Reviews;journal;ISSN 03057372
Nano Research;journal;ISSN 19980124, 19980000
